TID      | IP              | PACKET LOSS  | AVERAGE PING    | SSH        | NODE EXPORTER   | CLEANER    | SERVICE.SH      | LOGROTATE       | ROOT USAGE | MNT PATH   | MNT USAGE  | ENGINE VERSION | CAMERA STATUS        | RECORD STATUS 
160560   | 172.19.4.119    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161452   | 172.19.2.108    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
260225   | 172.19.4.60     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161526   | 172.19.2.188    | 0%           | 69.459 ms       | Have-SSH   | Metric-ok       | v1.0.4     | AutoRestart-OK  | Have-Logrotate  | 9%         | /mnt/sda1  | 47%        | v2.7.4       | Online               | Online
160137   | 172.19.2.183    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160862   | 172.19.1.132    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160164   | 172.19.2.89     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162340   | 172.19.2.122    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161569   | 172.19.2.42     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161578   | 172.19.2.71     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160145   | 172.19.2.40     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160870   | 172.19.1.186    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160660   | 172.19.1.187    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162439   | 172.19.4.57     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
470003   | 172.19.2.153    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160620   | 172.19.2.184    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161316   | 172.19.4.62     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161634   | 172.19.2.192    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
560205   | 172.19.9.6      | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161931   | 172.19.4.188    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160174   | 172.19.2.61     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
560393   | 172.19.4.110    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160104   | 172.19.2.96     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161537   | 172.19.2.98     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
560033   | 172.19.4.47     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162187   | 172.19.4.132    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160184   | 172.19.2.193    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
660120   | 172.19.2.164    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160508   | 172.19.1.169    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
570024   | 172.19.8.182    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161484   | 172.19.2.109    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161918   | 172.19.4.76     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160866   | 172.19.1.103    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160381   | 172.19.1.119    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161421   | 172.19.2.112    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
