TID      | IP              | PACKET LOSS  | AVERAGE PING    | SSH        | NODE EXPORTER   | CLEANER    | SERVICE.SH      | LOGROTATE       | ROOT USAGE | MNT PATH   | MNT USAGE  | ENGINE VERSION | CAMERA STATUS        | RECORD STATUS 
161498   | 172.19.2.16     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160560   | 172.19.4.119    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160884   | 172.19.1.87     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161634   | 172.19.2.192    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160164   | 172.19.2.89     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160760   | 172.19.8.253    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160660   | 172.19.1.187    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162327   | 172.19.2.123    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160184   | 172.19.2.193    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160866   | 172.19.1.103    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162333   | 172.19.2.19     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160763   | 172.19.1.232    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161163   | 172.19.1.177    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161918   | 172.19.4.76     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161569   | 172.19.2.42     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161655   | 172.19.2.113    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
560205   | 172.19.9.6      | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161161   | 172.19.1.188    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160687   | 172.19.1.151    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160381   | 172.19.1.119    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161521   | 172.19.2.195    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161921   | 172.19.12.34    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162326   | 172.19.2.59     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160862   | 172.19.1.132    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162187   | 172.19.4.132    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161769   | 172.19.5.3      | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160870   | 172.19.1.186    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162301   | 172.19.4.86     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161452   | 172.19.2.108    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
260055   | 172.19.4.124    | 0%           | 50.984 ms       | Have-SSH   | Metric-ok       | v1.0.4     | AutoRestart-OK  | Have-Logrotate  | 9%         | /mnt/sda1  | 36%        | v2.7.4       | Online               | Online
161316   | 172.19.4.62     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
660120   | 172.19.2.164    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161692   | 172.19.2.88     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161524   | 172.19.2.176    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162340   | 172.19.2.122    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162476   | 172.19.4.162    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
560393   | 172.19.4.110    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160620   | 172.19.2.184    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162344   | 172.19.2.35     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162272   | 172.19.2.118    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160357   | 172.19.1.71     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
260296   | 172.19.9.57     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160766   | 172.19.8.2      | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161537   | 172.19.2.98     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161484   | 172.19.2.109    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161403   | 172.19.1.208    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160321   | 172.19.1.108    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
560234   | 172.19.8.246    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160683   | 172.19.9.3      | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161273   | 172.19.4.107    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160145   | 172.19.2.40     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161579   | 172.19.13.252   | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160494   | 172.19.1.129    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162061   | 172.19.9.30     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161962   | 172.19.4.193    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162522   | 172.19.4.58     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162062   | 172.19.5.11     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161770   | 172.19.8.225    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161743   | 172.19.4.210    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161961   | 172.19.4.22     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162085   | 172.19.2.30     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161813   | 172.19.9.44     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162467   | 172.19.8.52     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
470065   | 172.19.8.12     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161573   | 172.19.9.134    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160682   | 172.19.5.113    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162054   | 172.19.0.4      | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160076   | 172.19.1.223    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162310   | 172.19.4.7      | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160678   | 172.19.5.37     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162434   | 172.19.8.189    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160193   | 172.19.8.13     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
570024   | 172.19.8.182    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160065   | 172.19.1.250    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161766   | 172.19.8.238    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160680   | 172.19.5.107    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161979   | 172.19.4.184    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162396   | 172.19.8.7      | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161503   | 172.19.2.182    | 0%           | 49.438 ms       | Have-SSH   | Metric-ok       | v1.0.4     | AutoRestart-OK  | Have-Logrotate  | 37%        | /mnt/sda1  | 33%        | v2.7.4       | Online               | Online
160072   | 172.19.2.4      | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
260268   | 172.19.5.49     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162442   | 172.19.8.99     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162421   | 172.19.4.44     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162444   | 172.19.8.86     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161660   | 172.19.2.47     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161122   | 172.19.8.252    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161619   | 172.19.13.213   | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
670129   | 172.19.1.86     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162045   | 172.19.1.107    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161478   | 172.19.2.172    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161685   | 172.19.9.33     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
570042   | 172.19.1.248    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161482   | 172.19.2.130    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162043   | 172.19.1.197    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161629   | 172.19.9.149    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160043   | 172.19.1.174    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160765   | 172.19.8.50     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160753   | 172.19.9.12     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161938   | 172.19.9.137    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162025   | 172.19.1.88     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161361   | 172.19.4.231    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161476   | 172.19.2.79     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161459   | 172.19.2.177    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162516   | 172.19.4.43     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161694   | 172.19.9.135    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162456   | 172.19.8.153    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161363   | 172.19.8.215    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160371   | 172.19.8.168    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162038   | 172.19.1.130    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161635   | 172.19.8.108    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162446   | 172.19.5.33     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162087   | 172.19.4.223    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161494   | 172.19.13.244   | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
780314   | 172.19.4.159    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162415   | 172.19.4.40     | 0%           | 63.241 ms       | Have-SSH   | Metric-ok       | v1.0.4     | AutoRestart-OK  | Have-Logrotate  | 83%        | /mnt/sda1  | 81%        | v2.7.4       | Online               | Online
161707   | 172.19.2.174    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162501   | 172.19.8.192    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160723   | 172.19.14.99    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161028   | 172.19.8.196    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160196   | 172.19.2.78     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160374   | 172.19.2.165    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160006   | 172.19.1.163    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160399   | 172.19.9.75     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162086   | 172.19.8.18     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161919   | 172.19.4.15     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160832   | 172.19.5.24     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161814   | 172.19.5.39     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160312   | 172.19.1.218    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162129   | 172.19.1.180    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160867   | 172.19.1.118    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161369   | 172.19.1.224    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
560268   | 172.19.4.19     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161191   | 172.19.14.84    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162431   | 172.19.14.212   | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160833   | 172.19.12.176   | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162244   | 172.19.8.44     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162324   | 172.19.2.58     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
460106   | 172.19.1.77     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
160423   | 172.19.13.189   | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
660262   | 172.19.16.97    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162116   | 172.19.4.9      | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
2013     | 172.19.4.147    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162307   | 172.19.2.69     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
660318   | 172.19.12.224   | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161311   | 172.19.4.200    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161836   | 172.19.4.24     | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161137   | 172.19.13.43    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
2034     | 172.19.16.12    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
162028   | 172.19.8.247    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
161356   | 172.19.1.220    | 100%         | Ping-RTO        |            |                 |            |                 |                 |            |            |            |              | Offline              | 
